step_time,reward,total_stopped,total_wait_time
5.0,0,0,0.0
10.0,0,0,0.0
15.0,0,0,0.0
20.0,0,0,0.0
25.0,0,0,0.0
30.0,0,0,0.0
35.0,0,0,0.0
40.0,0,0,0.0
45.0,0,0,0.0
50.0,0,0,0.0
55.0,0,0,0.0
60.0,0,0,0.0
65.0,0,0,0.0
70.0,0,0,0.0
75.0,0,0,0.0
80.0,0,0,0.0
85.0,0,0,0.0
90.0,1,0,0.0
95.0,1,0,0.0
100.0,1,1,1.0
105.0,1,1,6.0
110.0,1,1,11.0
115.0,1,1,16.0
120.0,1,1,21.0
125.0,1,1,26.0
130.0,1,1,31.0
135.0,2,1,36.0
140.0,2,1,41.0
145.0,2,2,49.0
150.0,2,2,59.0
155.0,2,2,69.0
160.0,2,2,79.0
165.0,2,2,89.0
170.0,2,2,99.0
175.0,2,2,109.0
180.0,2,2,119.0
185.0,2,2,129.0
190.0,2,2,139.0
195.0,2,2,149.0
200.0,2,2,159.0
205.0,2,2,169.0
210.0,2,2,179.0
215.0,2,2,189.0
220.0,2,2,199.0
225.0,2,2,209.0
230.0,2,2,219.0
235.0,2,2,229.0
240.0,2,2,239.0
245.0,2,2,249.0
250.0,2,2,259.0
255.0,2,2,269.0
260.0,2,2,279.0
265.0,2,2,289.0
270.0,2,2,299.0
275.0,2,2,309.0
280.0,2,2,319.0
285.0,2,2,329.0
290.0,2,2,339.0
295.0,2,2,349.0
300.0,1,0,156.0
305.0,-2,0,0.0
310.0,-2,0,0.0
315.0,0,0,0.0
320.0,0,0,0.0
325.0,0,0,0.0
330.0,0,0,0.0
335.0,0,0,0.0
340.0,0,0,0.0
345.0,0,0,0.0
350.0,0,0,0.0
355.0,0,0,0.0
360.0,0,0,0.0
365.0,0,0,0.0
370.0,0,0,0.0
375.0,0,0,0.0
380.0,0,0,0.0
385.0,0,0,0.0
390.0,0,0,0.0
395.0,0,0,0.0
400.0,1,0,0.0
405.0,1,0,0.0
410.0,1,1,3.0
415.0,1,1,8.0
420.0,1,1,13.0
425.0,1,1,18.0
430.0,1,1,23.0
435.0,0,0,0.0
440.0,0,0,0.0
445.0,1,0,0.0
450.0,1,0,0.0
455.0,-1,0,0.0
460.0,-1,0,0.0
465.0,0,0,0.0
470.0,0,0,0.0
475.0,1,0,0.0
480.0,0,0,0.0
485.0,0,0,0.0
490.0,-1,0,0.0
495.0,0,0,0.0
500.0,1,0,0.0
505.0,-1,0,0.0
510.0,-1,0,0.0
515.0,0,0,0.0
520.0,0,0,0.0
525.0,0,0,0.0
530.0,0,0,0.0
535.0,0,0,0.0
540.0,1,0,0.0
545.0,0,0,0.0
550.0,-1,0,0.0
555.0,0,0,0.0
560.0,0,0,0.0
565.0,0,0,0.0
570.0,0,0,0.0
575.0,0,0,0.0
580.0,0,0,0.0
585.0,0,0,0.0
590.0,0,0,0.0
595.0,0,0,0.0
600.0,0,0,0.0
605.0,0,0,0.0
610.0,2,0,0.0
615.0,1,0,0.0
620.0,0,1,5.0
625.0,1,1,10.0
630.0,1,1,15.0
635.0,1,1,20.0
640.0,2,1,25.0
645.0,2,1,30.0
650.0,0,1,35.0
655.0,1,1,40.0
660.0,2,1,45.0
665.0,0,1,50.0
670.0,1,1,55.0
675.0,1,1,60.0
680.0,1,1,65.0
685.0,1,1,70.0
690.0,1,1,75.0
695.0,1,1,80.0
700.0,1,1,85.0
705.0,1,1,90.0
710.0,1,1,95.0
715.0,1,1,100.0
720.0,1,1,105.0
725.0,1,1,110.0
730.0,1,1,115.0
735.0,1,1,120.0
740.0,1,1,125.0
745.0,1,1,130.0
750.0,1,1,135.0
755.0,1,1,140.0
760.0,1,1,145.0
765.0,1,1,150.0
770.0,2,1,155.0
775.0,0,1,160.0
780.0,0,1,165.0
785.0,1,1,170.0
790.0,1,1,175.0
795.0,1,1,180.0
800.0,1,1,185.0
805.0,1,1,190.0
810.0,1,1,195.0
815.0,0,0,0.0
820.0,-1,0,0.0
825.0,0,0,0.0
830.0,0,0,0.0
835.0,1,0,0.0
840.0,1,0,0.0
845.0,-1,0,0.0
850.0,-1,0,0.0
855.0,1,0,0.0
860.0,0,0,0.0
865.0,0,0,0.0
870.0,0,0,0.0
875.0,0,0,0.0
880.0,-2,0,0.0
885.0,0,0,0.0
890.0,2,0,0.0
895.0,0,0,0.0
900.0,0,1,1.0
905.0,1,1,6.0
910.0,1,1,11.0
915.0,1,1,16.0
920.0,1,1,21.0
925.0,1,1,26.0
930.0,1,1,31.0
935.0,1,1,36.0
940.0,1,1,41.0
945.0,1,1,46.0
950.0,1,1,51.0
955.0,1,1,56.0
960.0,1,1,61.0
965.0,1,1,66.0
970.0,1,1,71.0
975.0,1,1,76.0
980.0,1,1,81.0
985.0,1,1,86.0
990.0,1,1,91.0
995.0,1,1,96.0
1000.0,1,1,101.0
1005.0,1,1,106.0
1010.0,1,1,111.0
1015.0,1,1,116.0
1020.0,1,1,121.0
1025.0,1,1,126.0
1030.0,1,1,131.0
1035.0,1,1,136.0
1040.0,1,1,141.0
1045.0,1,1,146.0
1050.0,2,1,151.0
1055.0,3,1,156.0
1060.0,3,2,166.0
1065.0,3,3,180.0
1070.0,3,3,195.0
1075.0,4,3,210.0
1080.0,3,3,225.0
1085.0,2,3,240.0
1090.0,3,3,255.0
1095.0,3,3,270.0
1100.0,3,3,285.0
1105.0,4,3,300.0
1110.0,3,3,315.0
1115.0,2,3,330.0
1120.0,3,3,345.0
1125.0,-1,0,0.0
1130.0,-3,0,0.0
1135.0,0,0,0.0
1140.0,0,0,0.0
1145.0,0,0,0.0
1150.0,0,0,0.0
1155.0,0,0,0.0
1160.0,0,0,0.0
1165.0,0,0,0.0
1170.0,2,0,0.0
1175.0,2,0,0.0
1180.0,2,2,3.0
1185.0,2,2,13.0
1190.0,1,0,9.0
1195.0,-2,0,0.0
1200.0,1,0,0.0
1205.0,0,0,0.0
1210.0,-1,0,0.0
1215.0,0,0,0.0
1220.0,0,0,0.0
1225.0,0,0,0.0
1230.0,1,0,0.0
1235.0,1,0,0.0
1240.0,0,0,0.0
1245.0,0,0,0.0
1250.0,-1,0,0.0
1255.0,-1,0,0.0
1260.0,0,0,0.0
1265.0,0,0,0.0
1270.0,0,0,0.0
1275.0,0,0,0.0
1280.0,0,0,0.0
1285.0,0,0,0.0
1290.0,0,0,0.0
1295.0,0,0,0.0
1300.0,1,0,0.0
1305.0,1,0,0.0
1310.0,-1,0,0.0
1315.0,-1,0,0.0
1320.0,0,0,0.0
1325.0,0,0,0.0
1330.0,0,0,0.0
1335.0,0,0,0.0
1340.0,0,0,0.0
1345.0,0,0,0.0
1350.0,1,0,0.0
1355.0,0,0,0.0
1360.0,-1,0,0.0
1365.0,0,0,0.0
1370.0,0,0,0.0
1375.0,0,0,0.0
1380.0,0,0,0.0
1385.0,3,0,0.0
1390.0,1,0,0.0
1395.0,-2,0,0.0
1400.0,-2,0,0.0
1405.0,-1,0,0.0
1410.0,0,0,0.0
1415.0,1,0,0.0
1420.0,0,0,0.0
1425.0,-1,0,0.0
1430.0,0,0,0.0
1435.0,0,0,0.0
1440.0,0,0,0.0
1445.0,0,0,0.0
1450.0,1,0,0.0
1455.0,0,0,0.0
1460.0,-1,0,0.0
1465.0,0,0,0.0
1470.0,0,0,0.0
1475.0,0,0,0.0
1480.0,1,0,0.0
1485.0,1,0,0.0
1490.0,-1,0,0.0
1495.0,-1,0,0.0
1500.0,0,0,0.0
1505.0,1,0,0.0
1510.0,1,0,0.0
1515.0,1,0,0.0
1520.0,1,1,4.0
1525.0,1,1,9.0
1530.0,1,1,14.0
1535.0,1,1,19.0
1540.0,1,1,24.0
1545.0,1,1,29.0
1550.0,1,1,34.0
1555.0,1,1,39.0
1560.0,1,1,44.0
1565.0,1,1,49.0
1570.0,1,1,54.0
1575.0,1,1,59.0
1580.0,1,1,64.0
1585.0,1,1,69.0
1590.0,1,1,74.0
1595.0,1,1,79.0
1600.0,1,1,84.0
1605.0,1,1,89.0
